seed,method,integrated_correction_energy,minimum_ess,median_ess,integrated_projection_distortion,projected_law_mmd2,maximum_moment_error,microscopic_cost,generated_q4_change
401,independent,0.22535279652151785,0.043892242247654124,0.1116387029809082,0.7084407123635261,0.020530580219631778,0.023830428420664435,1.029573504986453,0.6075848438486134
401,geometric_sinkhorn,0.2464851217737071,0.059902829237961606,0.1580798981602183,0.5812252435715703,0.020878096973720006,0.022707821099485822,0.9170155959477246,0.5947622478497604
401,fiber_aware,0.2464851217737071,0.059902829237961606,0.1580798981602183,0.5812252435715703,0.020878096973720006,0.022707821099485822,0.9170155959477246,0.5947622478497604
401,fiber_aware_gram,0.2055798953696677,0.07260767005693103,0.16186362064554044,0.6436098010574043,0.025292152357070385,0.024036424065392418,0.9414752978997918,0.5813486088790352
402,independent,0.10008347250955149,0.22171800405983252,0.4390055634445764,0.30996441009976883,0.011645856804036014,0.016060599669881926,1.0380677304276476,0.5960539995818717
402,geometric_sinkhorn,0.10197842150256023,0.25513274469322067,0.5022534808789145,0.27058973173991246,0.011858473519581941,0.016907231276449688,0.9162668545872004,0.5891717065289067
402,fiber_aware,0.09072335961767869,0.2901925349574285,0.5134611874648456,0.24902426138227343,0.017254057434618136,0.016488055500695948,0.9449806042760422,0.5882604313144145
402,fiber_aware_gram,0.10197842150256141,0.25513274469321867,0.502253480878917,0.27058973173991224,0.01185846606325,0.0169072242409802,0.9162668545872004,0.5891717005876687
403,independent,0.12122734971973556,0.15443416616758562,0.3256983646760089,0.40843427122861975,0.0061255501794184875,0.009788903305104955,1.027196494071165,0.6177115036483608
403,geometric_sinkhorn,0.11881568059159936,0.19465818677965868,0.3818960348421997,0.3526286339281889,0.006096865041338467,0.008429524682063361,0.9324063076804374,0.6072645784806221
403,fiber_aware,0.10856514887704938,0.2033169013551978,0.3853888188158791,0.3567370282467158,0.012228572170892571,0.009537294775087383,0.9362128844765112,0.6400636873066892
403,fiber_aware_gram,0.11881568059159871,0.19465818677966007,0.3818960348422028,0.352628633928187,0.006096865130595042,0.008429524689173767,0.9324063076804372,0.6072645786603866
404,independent,0.13169608339085015,0.07584412521707509,0.22418163544240866,0.5086607177766721,0.02661659799641783,0.03017562662287514,1.0357354192093506,0.6224347481575185
404,geometric_sinkhorn,0.13881532443193104,0.09257223776907593,0.259522351096522,0.4406236452585382,0.024432226168103532,0.027103015612384627,0.9369005076121859,0.6273443384081122
404,fiber_aware,0.1773383635197344,0.14421253364703018,0.26434972733826656,0.5093857181411485,0.02871524048157789,0.027227201933591513,0.9570732534477802,0.631846189062498
404,fiber_aware_gram,0.22994984415810432,0.11295747864798603,0.2253043884121726,0.5560541230351581,0.0338459263822751,0.03436233673044897,0.9721159428825887,0.6235332226588527
405,independent,0.23898727109141274,0.08790666230330008,0.2877567691138956,0.41269992624125906,0.02234642411232618,0.024777331537216243,1.0308135504494647,0.6175023301843097
405,geometric_sinkhorn,0.23263272675096527,0.11908828405363757,0.3317054209334114,0.3609614675764467,0.006185641172549522,0.01208518399974792,0.9229736131925784,0.6038766578965904
405,fiber_aware,0.25601854400940477,0.09173580158788075,0.3294312707063557,0.37115339991074275,0.008524415690750103,0.015984661829184024,0.9322986549139821,0.6180203970968329
405,fiber_aware_gram,0.26869571638995077,0.07751871623059081,0.3199456000083806,0.3899426523789844,0.007982378749071123,0.016774665331311077,0.9357735436709433,0.5948675174146556
