candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,allowance_percent,L_max,R_max,feasible,is_previous_incumbent,is_historical_full,is_stage_winner,proxy_evaluated,prescreen_evaluated,prescreen_A_full_h,prescreen_passes,prescreen_source,selection_evaluated,selection_A_full_h,selection_passes,selection_source,validation_evaluated,validation_A_full_h,validation_passes,validation_source,proxy_A_full_h,proxy_passes,proxy_source
"[0.36905368513872927,1.2571235220125092]","[0.36905368513872927,1.2571235220125092]","[21.145218572199138,72.02787213793822]","[""mandatory_previous_corrected_incumbent"",""carried_previous_exact_finalist""]",True,True,0.069192897784744,0.06668349557260596,50.882653565739076,3.0,0.0692360118546043,0.06817130882262652,True,True,False,False,False,True,19.026555926630483,True,new_corrected_nested_sweep_evaluation,True,20.32243166724836,True,new_corrected_nested_sweep_evaluation,True,19.746995928782667,True,new_corrected_nested_sweep_evaluation,,,
"[0.40294027427553375,1.2053392262704312]","[0.40294027427553375,1.2053392262704312]","[23.0867771118319,69.06085054685987]","[""carried_previous_exact_finalist""]",True,True,0.0687593710939516,0.06621188562919098,45.97407343502797,3.0,0.0692360118546043,0.06817130882262652,True,False,False,False,False,True,25.14441105268914,True,new_corrected_nested_sweep_evaluation,True,27.573950551159513,True,accepted_isolated_corrected_0p5_rerun,False,,,,,,
"[0.3690536851387292,1.2324408390227404]","[0.3690536851387292,1.2324408390227404]","[21.145218572199134,70.61365857556511]","[""carried_previous_exact_finalist""]",True,True,0.06898644182783659,0.0665210537883375,49.46844000336598,3.0,0.0692360118546043,0.06817130882262652,True,False,False,False,True,False,,,,False,,,,False,,,,17.248402543036633,True,new_corrected_nested_sweep_evaluation
"[0.3628830143912871,1.250952851265067]","[0.3628830143912871,1.250952851265067]","[20.791665181605865,71.67431874734494]","[""carried_previous_exact_finalist"",""prescreen_refinement_r0.5_5""]",True,True,0.06917461987788673,0.06669860868878917,50.882653565739076,3.0,0.0692360118546043,0.06817130882262652,True,False,False,False,False,True,19.40819992823364,True,new_corrected_nested_sweep_evaluation,True,21.040259435874198,True,new_corrected_nested_sweep_evaluation,True,20.310305049837915,True,new_corrected_nested_sweep_evaluation,,,
"[0.34798569738387325,1.2447821805176247]","[0.34798569738387325,1.2447821805176247]","[19.938111791012588,71.32076535675166]","[""carried_previous_exact_finalist""]",True,True,0.06923291143894587,0.0668213524251819,51.382653565739076,3.0,0.0692360118546043,0.06817130882262652,True,False,False,False,False,True,19.584572035185932,True,new_corrected_nested_sweep_evaluation,True,21.732436779171344,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.359797679017566,1.247867515891346]","[0.359797679017566,1.247867515891346]","[20.614888486309226,71.4975420520483]","[""carried_previous_exact_finalist""]",True,True,0.06916787124971956,0.06670850652634244,50.882653565739076,3.0,0.0692360118546043,0.06817130882262652,True,False,False,False,False,True,19.62095505264924,True,new_corrected_nested_sweep_evaluation,True,21.424792110552797,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.35671234364384485,1.249145503647611]","[0.35671234364384485,1.249145503647611]","[20.438111791012588,71.57076535675168]","[""carried_previous_exact_finalist""]",True,True,0.06920278085331508,0.06675174447032817,51.13265356573909,3.0,0.0692360118546043,0.06817130882262652,True,False,False,False,False,True,19.383908634584245,True,new_corrected_nested_sweep_evaluation,True,21.20180854730707,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.3536270082701238,1.247867515891346]","[0.3536270082701238,1.247867515891346]","[20.26133509571595,71.4975420520483]","[""carried_previous_exact_finalist""]",True,True,0.06921489539915371,0.06677722328763397,51.23620695633235,3.0,0.0692360118546043,0.06817130882262652,True,False,False,False,False,True,19.41947991786375,True,new_corrected_nested_sweep_evaluation,True,21.343812943538715,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.352349020513859,1.2447821805176247]","[0.352349020513859,1.2447821805176247]","[20.188111791012588,71.32076535675166]","[""carried_previous_exact_finalist""]",True,True,0.06919660031923865,0.06676934640799982,51.132653565739076,3.0,0.0692360118546043,0.06817130882262652,True,False,False,False,False,True,19.714419725294693,True,new_corrected_nested_sweep_evaluation,True,21.77836427650941,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.367246337521273,1.250952851265067]","[0.367246337521273,1.250952851265067]","[21.041665181605868,71.67431874734494]","[""carried_previous_exact_finalist""]",True,True,0.06914521630025255,0.0666542828812712,50.632653565739076,3.0,0.0692360118546043,0.06817130882262652,True,False,False,False,False,True,19.564908929102806,True,new_corrected_nested_sweep_evaluation,True,21.10982594519329,True,new_corrected_nested_sweep_evaluation,False,,,,,,
