drifter_id,gate,crossing_time,crossing_lon,crossing_lat,horizon_days,completeness_class,coverage_fraction,max_gap_hours,drogue_class,drogue_lost_date_metadata,eligible,exclusion_reasons,year,month,season,decade
9217772,cape_hatteras_B,1998-07-11T18:00:00,-75.49700000000001,33.747,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1998,7,JJA,1990s
9423487,cape_hatteras_B,1995-06-19T06:00:00,-75.48000000000002,34.356,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1995,6,JJA,1990s
9423545,cape_hatteras_B,1997-03-23T06:00:00,-75.483,33.522,45,materially_incomplete,0.4143646408839779,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1997,3,MAM,1990s
9526398,cape_hatteras_B,1996-10-23T06:00:00,-75.34899999999999,34.881,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1996,10,SON,1990s
9423547,cape_hatteras_B,1998-12-03T18:00:00,-75.43,34.089,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,12,DJF,1990s
9624924,cape_hatteras_B,1998-07-12T00:00:00,-75.47199999999998,37.201,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,1998,7,JJA,1990s
9730659,cape_hatteras_B,1999-05-09T12:00:00,-75.39299999999997,34.529,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1999,5,MAM,1990s
9525721,cape_hatteras_B,1998-07-01T00:00:00,-75.49200000000002,33.838,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,7,JJA,1990s
9525752,cape_hatteras_B,1998-12-24T12:00:00,-75.23200000000003,34.652,45,materially_incomplete,0.3314917127071823,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1998,12,DJF,1990s
9729813,cape_hatteras_B,1999-12-27T06:00:00,-75.39600000000002,33.277,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,12,DJF,1990s
9728865,cape_hatteras_B,1999-09-17T00:00:00,-75.457,34.061,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1999,9,SON,1990s
9730688,cape_hatteras_B,1999-05-16T06:00:00,-75.45299999999997,33.57,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,1999,5,MAM,1990s
9821159,cape_hatteras_B,1999-10-18T06:00:00,-75.45100000000002,35.221,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,10,SON,1990s
9809635,cape_hatteras_B,2000-04-22T00:00:00,-75.47399999999999,34.853,45,materially_incomplete,1.0,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2000,4,MAM,2000s
9812046,cape_hatteras_B,1999-04-19T06:00:00,-75.483,34.546,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,4,MAM,1990s
9821001,cape_hatteras_B,1999-09-09T06:00:00,-75.47699999999998,36.782,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,9,SON,1990s
9804532,cape_hatteras_B,1999-11-29T18:00:00,-75.39499999999998,35.0,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,11,SON,1990s
9714827,cape_hatteras_B,1999-09-08T12:00:00,-75.42000000000002,33.25,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,9,SON,1990s
9714828,cape_hatteras_B,1999-12-07T06:00:00,-75.43700000000001,33.312,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,12,DJF,1990s
17300,cape_hatteras_B,1999-12-21T12:00:00,-75.45499999999998,34.761,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,12,DJF,1990s
17578,cape_hatteras_B,2000-08-19T06:00:00,-75.25299999999999,34.387,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2000,8,JJA,2000s
9817581,cape_hatteras_B,2000-06-03T00:00:00,-75.48700000000002,34.087,45,materially_incomplete,0.06077348066298342,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2000,6,JJA,2000s
17503,cape_hatteras_B,2000-06-29T18:00:00,-75.42500000000001,34.507,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,6,JJA,2000s
17493,cape_hatteras_B,2000-07-24T00:00:00,-75.46199999999999,33.446,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,7,JJA,2000s
19465,cape_hatteras_B,2000-04-30T12:00:00,-75.49400000000003,34.174,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,4,MAM,2000s
19464,cape_hatteras_B,2000-03-14T06:00:00,-75.315,34.289,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,3,MAM,2000s
9819463,cape_hatteras_B,2000-05-21T18:00:00,-75.48700000000002,33.861,45,materially_incomplete,0.5082872928176796,nan,not_assessed_incomplete,missing_or_zero,False,not_exact_6_hour;not_assessed_incomplete,2000,5,MAM,2000s
18809,cape_hatteras_B,2000-04-19T00:00:00,-75.41699999999997,34.578,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,4,MAM,2000s
18909,cape_hatteras_B,2001-06-13T12:00:00,-75.298,34.499,45,materially_incomplete,0.3425414364640884,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2001,6,JJA,2000s
22167,cape_hatteras_B,2000-09-25T06:00:00,-75.30599999999998,34.588,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,9,SON,2000s
26881,cape_hatteras_B,2000-12-17T18:00:00,-75.322,34.103,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,2000,12,DJF,2000s
26598,cape_hatteras_B,2000-09-23T00:00:00,-75.44900000000001,34.88,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2000,9,SON,2000s
26658,cape_hatteras_B,2001-03-04T06:00:00,-75.34300000000002,34.94,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,2001,3,MAM,2000s
26880,cape_hatteras_B,2001-06-18T06:00:00,-75.37200000000001,34.615,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2001,6,JJA,2000s
26886,cape_hatteras_B,2001-01-18T18:00:00,-75.452,34.112,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,2001,1,DJF,2000s
26862,cape_hatteras_B,2001-02-10T06:00:00,-75.47000000000003,34.788,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,2001,2,DJF,2000s
29156,cape_hatteras_B,2002-08-22T18:00:00,-75.32799999999997,34.749,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2002,8,JJA,2000s
2123120,cape_hatteras_B,2001-08-16T00:00:00,-75.42899999999997,34.823,45,materially_incomplete,0.022099447513812154,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2001,8,JJA,2000s
7647,cape_hatteras_B,2002-04-08T12:00:00,-75.332,35.016,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2002,4,MAM,2000s
27064,cape_hatteras_B,2001-11-03T18:00:00,-75.44999999999999,34.87,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2001,11,SON,2000s
27063,cape_hatteras_B,2001-11-09T18:00:00,-75.49799999999999,34.77,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2001,11,SON,2000s
27060,cape_hatteras_B,2002-01-06T00:00:00,-75.47800000000001,34.248,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2002,1,DJF,2000s
27061,cape_hatteras_B,2002-01-06T00:00:00,-75.42899999999997,34.164,45,materially_incomplete,0.09944751381215469,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2002,1,DJF,2000s
27065,cape_hatteras_B,2001-11-22T12:00:00,-75.488,35.953,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2001,11,SON,2000s
23118,cape_hatteras_B,2002-03-24T18:00:00,-75.445,34.928,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,2002,3,MAM,2000s
23067,cape_hatteras_B,2002-03-31T12:00:00,-75.45499999999998,34.936,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2002,3,MAM,2000s
23120,cape_hatteras_B,2002-03-20T06:00:00,-75.45800000000003,34.697,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2002,3,MAM,2000s
29134,cape_hatteras_B,2002-05-07T00:00:00,-75.37799999999999,34.851,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2002,5,MAM,2000s
27364,cape_hatteras_B,2002-03-20T12:00:00,-75.40699999999998,34.731,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2002,3,MAM,2000s
27275,cape_hatteras_B,2002-03-19T12:00:00,-75.43299999999999,34.559,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2002,3,MAM,2000s
28514,cape_hatteras_B,2002-05-08T00:00:00,-75.37400000000002,34.688,45,materially_incomplete,0.03314917127071823,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2002,5,MAM,2000s
34731,cape_hatteras_B,2002-08-07T18:00:00,-75.40800000000002,34.556,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2002,8,JJA,2000s
34736,cape_hatteras_B,2002-06-26T18:00:00,-75.49900000000002,36.412,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2002,6,JJA,2000s
26887,cape_hatteras_B,2002-08-21T00:00:00,-75.45100000000002,34.688,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2002,8,JJA,2000s
30372,cape_hatteras_B,2002-08-27T00:00:00,-75.41699999999997,34.678,45,materially_incomplete,1.0,nan,not_assessed_incomplete,missing_or_zero,False,not_exact_6_hour;not_assessed_incomplete,2002,8,JJA,2000s
