accepted_medium_grid_tangent_action_density,adaptive_action_density,adaptive_compatibility_relative_residual,adaptive_energy_load_identity_relative_error,adaptive_gauge_relative_residual,adaptive_last_relative_action_change,adaptive_level_actions,adaptive_maximum_projected_cell_weight,adaptive_maximum_relative_rank_action_change,adaptive_minimum_cell_width_km,adaptive_quadrature_attempted,adaptive_quadrature_cell_count,adaptive_quadrature_required_by_production_freeze,adaptive_quadrature_valid,adaptive_rank_sensitivity_valid,adaptive_refinement_level,adaptive_scaled_weak_relative_residual,adaptive_solver_success,basis_size,cg_maximum_iterations,cg_tolerance,compatibility_relative_residual,compatibility_residual,compatibility_valid,complete_scaled_weak_relative_residual,condition_proxy,covariance_condition,covariance_minimum_eigenvalue,day,density_floor_or_cell_threshold_used,density_modified,design_id,design_index,discarded_scaled_load_relative_residual,dx_km,energy_load_identity_relative_error,final_test_accessed,full_action_density,gram_rank,grid_nx,grid_ny,iterations,lambda_dot_solve_relative_residual,maximum_active_log_density,maximum_log_density,maximum_relative_rank_action_change,minimum_active_log_density,minimum_log_density,multiplier_coordinate_ready,native_relative_pde_residual,operator_floor,operator_floor_absolute_density,operator_floor_relative,operator_floor_to_physical_coefficient_sum_ratio,physical_absolute_pde_residual,physical_pde_valid,physical_relative_pde_residual,pilot_method_authorized,poisson_backend,preconditioner,production_case_valid,production_quadrature_method,production_quadrature_stability_valid,projected_moment_residual,projection_backend,projection_iterations,quadrature_underflow_count,rank_sensitivity_valid,rank_tolerance_1e-10_action,rank_tolerance_1e-12_action,rank_tolerance_1e-14_action,refined_multiplier_norm,relative_lambda_dot_grid_change,relative_multiplier_grid_change,residual_contract,retained_rank,scaled_weak_relative_residual,soft_projection_penalty_trace,soft_projection_stationarity_residual,solve_accepted_before_refinement,solver_converged,solver_error,solver_success,source_time_index,stabilized_relative_pde_residual,tangent_action_density,tangent_compatibility_relative_residual,tangent_full_inequality_valid,underflow_cell_count,underflow_cell_fraction,underflow_log10_probability_mass,variational_compatibility_relative_residual,weak_relative_residual,weighted_mean_potential_relative_residual,weighted_mean_potential_residual
224016.91566277962,4056361.566466124,4.708142003632752e-15,2.42682498894242e-13,3.4649960134080415e-17,3.20698584643318e-05,0:4077138.4370877724;1:4056231.4795248071;2:4056361.5664661238,0.002976940060624048,0.012445792033037268,1.7857142857142858,True,146358,True,True,True,2,3.1768319516055452e-18,True,35,,,2.087577055396285e-15,-9.892298235911017e-14,True,9.144893843721834e-08,291895744192.3201,796.6349199541736,2.5000000000000133e-05,0.0,False,False,design_000000,0,9.144893841038582e-08,7.142857142857143,7.868300989950294e-16,False,4056361.566466124,3,511,273,13.0,4.071472066685016e-17,-7.242516019320118,-7.242516019320118,0.012445792033037268,-749.0008555398665,-299784.2332181067,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,adaptive_nested_local_refinement,True,0.029760268958041868,tesseract_cpp_soft_uncertainty_penalized,7,93714,True,4024262.6136801965,4077138.3694217666,4111184.8823233726,260.2531291548902,nan,nan,retained_space_scaled_weak_galerkin_optimality,20,2.9288329716341485e-24,0.0003249769159115182,1.897526524738332e-13,True,True,,True,0,nan,224016.91566277962,1.1622760284622292e-12,True,127145,0.9114140914532304,-322.80007492696205,2.131342216822263e-15,9.906706724558494e-08,1.2676356146212113e-14,2.6677444988563317e-09
233232.92534260135,2672270.7087738104,3.943779947289832e-14,7.290903648710664e-13,1.992191280141829e-17,1.1086294283966253e-05,0:2673010.8021755782;1:2672300.3346817358;2:2672270.7087738104,0.0027909117417658446,0.015745450958148513,1.7857142857142858,True,147408,True,True,True,2,3.4734801487336575e-21,True,35,,,3.8355854866737644e-17,1.769206191857889e-15,True,1.4468687278218158e-07,141391462232.61026,890.2140433686435,2.5000000000000513e-05,0.25,False,False,design_000000,0,1.4468687287879808e-07,7.142857142857143,2.666717571949914e-16,False,2672270.7087738104,3,511,273,13.0,0.0,-7.0541664752338065,-7.0541664752338065,0.015745450958148513,-749.062197861404,-299469.87236089184,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,adaptive_nested_local_refinement,True,0.03181566565361972,tesseract_cpp_soft_uncertainty_penalized,6,90622,True,2631439.31365893,2673010.745541075,2702277.1034851344,224.1706427931595,nan,nan,retained_space_scaled_weak_galerkin_optimality,20,5.555064721927402e-20,0.0003552306288872212,7.76739422494028e-12,True,True,,True,1,nan,233232.92534260135,1.1117212511792283e-12,True,125550,0.8999806455775144,-322.6445983754763,3.712319902925954e-19,1.5407153233960696e-07,2.046562771592706e-14,3.735416219388229e-09
222367.5774595714,1580267.7871752032,1.4875859384270366e-14,1.8260848071859888e-12,6.298777867421776e-18,2.4405102433955426e-05,0:1579801.7620631745;1:1580229.2205779841;2:1580267.7871752032,0.0025629780277547807,0.026879947195727175,1.7857142857142858,True,148506,True,True,True,2,1.2035840120313377e-18,True,35,,,1.4678739332248527e-15,6.545820529060294e-14,True,1.4166821158987943e-08,812036166715.1649,932.259905724132,2.5000000000002136e-05,0.5,False,False,design_000000,0,1.4166820728461253e-08,7.142857142857143,2.337206035175071e-15,False,1580267.7871752032,3,511,273,14.0,3.1599548455408736e-20,-7.232390875682308,-7.232390875682308,0.026879947195727175,-749.0350316719303,-299036.9123350535,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,adaptive_nested_local_refinement,True,0.03413073847887863,tesseract_cpp_soft_uncertainty_penalized,7,87369,True,1537488.8957365816,1579801.292634463,1579801.292634463,194.2934266795648,nan,nan,retained_space_scaled_weak_galerkin_optimality,21,0.0,0.00039081394845331486,2.7573731209968205e-11,True,True,,True,2,nan,222367.5774595714,7.993359967040355e-13,True,123855,0.8878303692393712,-322.64139326586326,1.467409366369097e-15,1.141226726320545e-08,3.847783349212623e-14,5.552243423125573e-09
174671.3542128013,918447.7068969901,9.206800198751288e-16,1.7841648008161678e-12,1.199605175611262e-17,6.822237596121868e-06,0:918362.99735988094;1:918453.97280821367;2:918447.70689699007,0.0023106517120770505,0.028931474258912165,1.7857142857142858,True,149625,True,True,True,2,5.859883258832896e-20,True,35,,,1.3784528206463247e-14,5.684845642661818e-13,True,1.9293882637476218e-08,453262235736.0857,932.2938373090062,2.5000000000009007e-05,0.75,False,False,design_000000,0,1.929388222534616e-08,7.142857142857143,2.480439258555193e-15,False,918447.7068969901,3,511,273,13.0,0.0,-7.233263600899866,-7.233263600899866,0.028931474258912165,-748.8628170592453,-298449.7806264131,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,adaptive_nested_local_refinement,True,0.036326000373219494,tesseract_cpp_soft_uncertainty_penalized,7,83930,True,891861.1018336785,918362.8099624893,924941.4298780495,168.88584135053605,nan,nan,retained_space_scaled_weak_galerkin_optimality,21,2.0716050924856447e-20,0.0004304444554031722,5.49134623682819e-11,True,True,,True,3,nan,174671.3542128013,6.078747889759219e-13,True,122012,0.8746191838168355,-322.6013569491816,1.3789663586105207e-14,1.5774891892522424e-08,1.5444727017480482e-14,1.7553803894639595e-09
92394.0316402816,712261.0207322873,6.40237570852721e-14,6.746999126914354e-13,5.9109841824985e-17,2.4613034889017568e-05,0:712183.22738279845;1:712243.48982693395;2:712261.02073228732,0.002070527482360554,0.02480560370571209,1.7857142857142858,True,150789,True,True,True,2,0.0,True,35,,,3.851643534694572e-15,-1.3260650123818633e-13,True,3.230998371506016e-08,262392675136.49698,909.7426518130269,2.5000000000037826e-05,1.0,False,False,design_000000,0,3.2309983720608734e-08,7.142857142857143,7.502676830727249e-17,False,712261.0207322873,3,511,273,13.0,5.935262139359375e-17,-7.389153257894941,-7.389153257894941,0.02480560370571209,-749.046837295904,-297730.7490332846,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,adaptive_nested_local_refinement,True,0.037856049952562504,tesseract_cpp_soft_uncertainty_penalized,7,80300,True,694558.6985678705,712183.3304924609,719008.4658280305,146.4738879029427,nan,nan,retained_space_scaled_weak_galerkin_optimality,21,2.141449747996297e-25,0.00047187263496044194,3.076251565069869e-11,True,True,,True,4,nan,92394.0316402816,1.2635158477900796e-12,True,120068,0.8606839996272482,-322.54829057398575,3.857251070891557e-15,2.672930470755473e-08,8.369691202763981e-15,-1.2871781012889146e-09
17380.24754141,1241254.4906013485,5.987502566165568e-14,5.796125567625268e-14,4.766471019591133e-17,1.587827833723761e-07,0:1240928.201282793;1:1241254.6876912226;2:1241254.4906013485,0.0018353666160199518,0.02274619178355177,1.7857142857142858,True,152052,True,True,True,2,1.2069237127109398e-16,True,35,,,1.0816291105654223e-15,-2.6415040733434465e-14,True,8.4248250824416e-08,153210634281.9215,886.7866452283669,2.5000000000155618e-05,1.25,False,False,design_000000,0,8.424825085475035e-08,7.142857142857143,7.952125686451183e-17,False,1241254.4906013485,3,511,273,14.0,5.859634384046673e-17,-7.548899068902538,-7.548899068902538,0.02274619178355177,-748.8643819406063,-297011.9572762129,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,adaptive_nested_local_refinement,True,0.038183207242895346,tesseract_cpp_soft_uncertainty_penalized,7,76535,True,1212761.9402422674,1240928.2628730808,1257135.337703778,126.40117380221527,nan,nan,retained_space_scaled_weak_galerkin_optimality,21,5.716702291143332e-20,0.000512415074037903,7.743983397592064e-12,True,True,,True,5,nan,17380.24754141,6.361112415161764e-12,True,118048,0.8462040242862161,-322.42990081178107,1.0134424181853431e-15,7.065603564521331e-08,1.819994470376396e-15,-6.248385261395975e-10
33346.34836080803,3304294.89792367,6.575074446853855e-14,7.330974054692382e-13,2.6370159414569973e-18,9.191609978743175e-06,0:3303240.7625150722;1:3304264.5261337133;2:3304294.8979236698,0.0016242702737708262,0.017952663843244007,1.7857142857142858,True,153606,True,True,True,2,1.142374706113411e-16,True,35,,,1.2781597070797843e-14,2.3140514471841993e-13,True,2.0534608996037728e-07,86816657603.01125,879.3319948179309,2.5000000000620707e-05,1.5,False,False,design_000000,0,2.0534609084817062e-07,7.142857142857143,1.1708582836508295e-16,False,3304294.89792367,3,511,273,12.0,2.2967759438788083e-19,-7.643142646185762,-7.643142646185762,0.017952663843244007,-749.0560411335607,-296092.4531096475,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,adaptive_nested_local_refinement,True,0.03678021314926028,tesseract_cpp_soft_uncertainty_penalized,6,72641,True,3244044.4034769097,3303240.2582743065,3350567.1959555713,108.73017776804436,nan,nan,retained_space_scaled_weak_galerkin_optimality,21,5.524073944030774e-20,0.000549812753640824,1.0479889599001204e-10,True,True,,True,6,nan,33346.34836080803,4.168822066718176e-11,True,115906,0.8308495157810226,-322.49121950512364,1.2865222564552021e-14,1.7758307359089843e-07,2.189828691665594e-15,1.5099734833626322e-09
227298.46485217512,7000009.012415733,8.863635794922617e-14,2.181952937003791e-14,9.252072807591106e-18,4.0725613032192094e-05,0:6997809.192738153;1:6999723.9327574717;2:7000009.0124157332,0.0014247109462209914,0.02418980177106014,1.7857142857142858,True,155073,True,True,True,2,1.1320081064731625e-20,True,35,,,1.3306868556744344e-14,3.569065900300819e-13,True,3.5565426168454533e-07,47821710038.53633,896.8010439680588,2.5000000002383735e-05,1.75,False,False,design_000000,0,3.5565426117172316e-07,7.142857142857143,6.59590095919689e-17,False,7000009.012415733,3,511,273,13.0,1.1906249380000012e-16,-7.734185531473035,-7.734185531473035,0.02418980177106014,-749.0093794028998,-294925.2876743661,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,adaptive_nested_local_refinement,True,0.03404311645506194,tesseract_cpp_soft_uncertainty_penalized,8,68652,True,6828683.385073425,6997809.154580774,7098703.739317918,97.214031964475,nan,nan,retained_space_scaled_weak_galerkin_optimality,21,0.0,0.000582877369502398,4.272471098089589e-14,True,True,,True,7,nan,227298.46485217512,2.3151080278391482e-11,True,113710,0.8151079188261184,-322.41128992648083,1.3309581517811675e-14,3.241764912482265e-07,6.951143794031773e-16,-7.513874411600895e-10
633851.4700234437,10615188.624191655,1.655719845451607e-14,7.457466997986386e-14,7.22966026205819e-17,0.00011469865018992968,0:10611599.067114564;1:10613971.076384949;2:10615188.624191655,0.0012481124348480304,0.13971959511413762,1.7857142857142858,True,155550,True,True,False,2,4.699701782414235e-18,True,35,,,1.192785575080775e-14,4.90868703742601e-13,True,4.890569559680713e-07,25342890230.07444,939.3733391736067,2.5000000008785803e-05,2.0,False,False,design_000000,0,4.890569559324715e-07,7.142857142857143,3.531153098851551e-17,False,10615188.624191655,3,511,273,14.0,1.2266157933743693e-16,-7.846653936133967,-7.846653936133967,0.13971959511413762,-748.9664263108872,-293455.60038691224,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,False,adaptive_nested_local_refinement,True,0.030308948735131375,tesseract_cpp_soft_uncertainty_penalized,10,64604,False,10355745.792391399,10611599.288977735,12332804.57500448,96.37546236807067,nan,nan,retained_space_scaled_weak_galerkin_optimality,21,3.678299081641671e-20,0.0006115132290744315,4.878262817935161e-10,False,True,,True,8,nan,633851.4700234437,2.5484501954188317e-11,True,111445,0.7988717088521394,-322.35313401066844,1.1895345772181327e-14,4.6323357602117826e-07,1.3102536815020374e-15,1.7465672545288592e-09
1225979.3516446783,12052787.123443399,2.92631885806951e-14,1.1157832491117144e-13,4.905855363827901e-17,0.00011553642273736191,0:12049595.518612631;1:12051394.587535141;2:12052787.123443399,0.0010811720608344887,0.10284010312019923,1.7857142857142858,True,156144,True,True,False,2,1.2199135309889323e-16,True,35,,,1.5396207701133043e-15,-8.139391555216645e-14,True,2.985082778700312e-07,455733995757.5428,1002.5957555090223,2.500000003106344e-05,2.25,False,False,design_000000,0,2.9850827750481865e-07,7.142857142857143,2.3987313444903304e-16,False,12052787.123443399,3,511,273,12.0,6.470434916006714e-17,-7.998079603406332,-7.998079603406332,0.10284010312019923,-749.0283489577447,-291620.361085472,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,False,adaptive_nested_local_refinement,True,0.026198143417647177,tesseract_cpp_soft_uncertainty_penalized,9,60522,False,11690290.886850564,12049595.16985216,13457774.639232447,110.39109425809855,nan,nan,retained_space_scaled_weak_galerkin_optimality,22,4.1622131081804005e-21,0.0006362464475433829,5.378092176037909e-16,False,True,,True,9,nan,1225979.3516446783,3.4107393562686755e-11,True,109048,0.7816892826677563,-322.26153969268194,1.528346589071651e-15,3.471648798212293e-07,4.762529449441253e-15,-6.355151626683725e-09
1949695.4844148739,,,,,,,,,,False,,False,False,,,,,35,,,1.4024381470281593e-15,8.285747258443154e-14,True,2.2165513312563686e-07,748513884701.7133,1079.3281613093523,2.5000000105471077e-05,2.5,False,False,design_000000,0,2.216551332487317e-07,7.142857142857143,3.733908199852203e-16,False,10761238.29876654,3,511,273,13.0,1.398752278413898e-16,-8.163027056750243,-8.163027056750243,0.056871460251500854,-749.0534482701837,-289348.52976804244,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,False,pilot_authorized_fine_structured_grid,True,0.022364085312661635,tesseract_cpp_soft_uncertainty_penalized,8,56446,False,10710050.022285743,10761238.29876654,11410150.202469965,139.1674901236681,nan,nan,retained_space_scaled_weak_galerkin_optimality,23,2.56283764405539e-23,0.0006577169418525465,8.471495941720275e-16,False,True,,True,10,nan,1949695.4844148739,4.960057184414683e-11,True,106588,0.7640552532920439,-322.2943592379208,1.393989387895139e-15,2.665366664679034e-07,9.734731536979247e-15,-1.0670019124873483e-08
2747665.1349621494,,,,,,,,,,False,,False,False,,,,,35,,,1.0939504091605609e-16,-6.4555806206198646e-15,True,1.5734730855080093e-07,774492574999.3276,1162.5736365199025,2.5000000344414812e-05,2.75,False,False,design_000000,0,1.573473086836411e-07,7.142857142857143,1.513119081140502e-16,False,8433051.188711645,3,511,273,14.0,1.5883717485549855e-16,-8.322235054648676,-8.322235054648676,0.021101344983231053,-748.9531128930544,-286561.69164921844,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.019298022001920694,tesseract_cpp_soft_uncertainty_penalized,5,52400,True,8424443.322704287,8433051.188711645,8614835.811136326,179.6993177698525,nan,nan,retained_space_scaled_weak_galerkin_optimality,24,1.1871989005104777e-20,0.0006764169955861693,4.0069695722374775e-10,True,True,,True,11,nan,2747665.1349621494,7.491514982377025e-11,True,103952,0.7451596023024595,-322.30071710900086,1.1740143950579213e-16,1.9451312789432685e-07,4.416295956153545e-15,-3.432058487870206e-09
3496904.521194849,,,,,,,,,,False,,False,False,,,,,35,,,1.116601758676917e-15,6.060117183230986e-14,True,7.744846108384861e-08,332871237393.45337,1256.8037266395875,2.500000108272255e-05,3.0,False,False,design_000000,0,7.744846107528736e-08,7.142857142857143,1.888263811833183e-16,False,6904547.16560904,3,511,273,13.0,1.7006841322285966e-16,-8.548325467681519,-8.548325467681519,0.005691028164078083,-749.0172381349323,-283176.0352895816,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.017584994846660994,tesseract_cpp_soft_uncertainty_penalized,5,48432,True,6893197.921356646,6904547.16560904,6944066.041021713,228.4316195341397,nan,nan,retained_space_scaled_weak_galerkin_optimality,24,4.343518789496358e-20,0.0006926596545819202,2.579491227789298e-15,True,True,,True,12,nan,3496904.521194849,1.135591978848867e-10,True,101173,0.725238883751604,-322.23307320005495,1.120836289649111e-15,9.598748895863676e-08,7.83262068792397e-15,-4.2521029513174145e-09
4070979.996938388,,,,,,,,,,False,,False,False,,,,,35,,,2.834712483645339e-15,-1.339854339909562e-13,True,8.062093518498765e-08,880787024753.2518,1373.2373706102119,2.5000003276898095e-05,3.2499999999999996,False,False,design_000000,0,8.062093514209776e-08,7.142857142857143,1.57904772110314e-16,False,6185989.80036983,3,511,273,14.0,3.6323560719044873e-16,-8.763523183338135,-8.763523183338135,0.004859536335927608,-749.0622143821109,-279104.4289509723,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.017269480698982934,tesseract_cpp_soft_uncertainty_penalized,5,44569,True,6162580.822076375,6185989.80036983,6216197.638666236,281.51090218863544,nan,nan,retained_space_scaled_weak_galerkin_optimality,25,2.5293409992963924e-21,0.0007066552567712329,4.402710575857505e-12,True,True,,True,13,nan,4070979.996938388,1.7319330298601178e-10,True,98239,0.704207077983986,-322.2277772178724,2.8408821881485377e-15,9.622611829885138e-08,4.916400513584181e-14,-2.0120917166322958e-08
4420447.297130069,,,,,,,,,,False,,False,False,,,,,35,,,3.295957658272894e-15,-1.319954776317632e-13,True,1.1516890962001393e-07,438501807064.5104,1527.6418788264355,2.500000953721738e-05,3.5,False,False,design_000000,0,1.1516891020781343e-07,7.142857142857143,8.145233975987164e-16,False,5879443.569458612,3,511,273,14.0,6.14073985875853e-18,-8.996644471818135,-8.996644471818135,0.008054430248517234,-749.0120744158605,-274260.38218022254,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.018234876342526185,tesseract_cpp_soft_uncertainty_penalized,7,40840,True,5832088.001328315,5879443.569458612,5914479.164024998,334.54381290294515,nan,nan,retained_space_scaled_weak_galerkin_optimality,25,1.0602871240489478e-23,0.0007186171759631119,6.183608649301848e-13,True,True,,True,14,nan,4420447.297130069,2.7246115997829546e-10,True,95227,0.6826161444556748,-322.1375054571781,3.3139482124029812e-15,1.4218631588323977e-07,1.0825918653379545e-13,3.766642534753549e-08
4593070.265672407,,,,,,,,,,False,,False,False,,,,,35,,,3.4215684241338735e-17,-1.1561384498801178e-15,True,4.839105720659461e-08,495192905192.9244,1734.0856652656985,2.5000026630220667e-05,3.75,False,False,design_000000,0,4.839105729414154e-08,7.142857142857143,1.3656065186427103e-15,False,5777887.830436908,3,511,273,15.0,1.5176740616646118e-18,-9.252801048256329,-9.252801048256329,0.013904806426723903,-748.9777367523488,-268562.8358443401,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.020248797107981973,tesseract_cpp_soft_uncertainty_penalized,4,37269,True,5697547.418599359,5777887.830436908,5793727.432560197,382.97804228769763,nan,nan,retained_space_scaled_weak_galerkin_optimality,26,7.629937055662509e-20,0.0007288594265821137,6.4673340286459015e-12,True,True,,True,15,nan,4593070.265672407,4.593713842526605e-10,True,92280,0.6614911507279413,-322.26722400072606,3.326149985668984e-17,6.257367365936215e-08,7.220540686874705e-14,2.3695639054250452e-08
4690630.938163083,,,,,,,,,,False,,False,False,,,,,35,,,1.1169762798109831e-15,3.2855448508184496e-14,True,7.871010548222067e-08,247973157587.82825,2008.0861851289637,2.5000071109906945e-05,4.0,False,False,design_000000,0,7.871010543663e-08,7.142857142857143,2.237544915850577e-16,False,5818616.897319483,3,511,273,14.0,2.40197340006151e-17,-9.50690407445991,-9.50690407445991,0.01157911936928396,-748.9712323648992,-261941.52895418793,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.02303933013769485,tesseract_cpp_soft_uncertainty_penalized,4,33870,True,5751242.437701288,5818616.897319483,5845559.485616726,423.04321799218076,nan,nan,retained_space_scaled_weak_galerkin_optimality,26,7.628908189516826e-20,0.0007378519852365078,1.3340249110083453e-15,True,True,,True,16,nan,4690630.938163083,8.807119503503871e-10,True,89435,0.6410973240718838,-322.26611216883555,1.0879143592057774e-15,1.0227966662526186e-07,6.620062485537154e-15,-2.166492006606695e-09
9965181.723721018,,,,,,,,,,False,,False,False,,,,,35,,,3.7516555560532775e-15,-1.471295915404284e-13,True,3.0838066528629956e-08,544633958046.937,2365.136109015706,2.5000181098342378e-05,4.25,False,False,design_000000,0,3.083806650766896e-08,7.142857142857143,2.2235716160546696e-15,False,17179836.344397385,3,511,273,14.0,3.543932011479291e-16,-9.76616872036262,-9.76616872036262,0.06640691695575382,-749.0223955613977,-254345.69120723516,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,False,pilot_authorized_fine_structured_grid,True,0.026373804310614084,tesseract_cpp_soft_uncertainty_penalized,4,30668,False,16038976.378961546,17179836.344397385,17184779.191112943,452.60610411927803,nan,nan,retained_space_scaled_weak_galerkin_optimality,28,7.369546426448593e-26,0.0007462020454322614,9.279037203379833e-15,False,True,,True,17,nan,9965181.723721018,3.569026393359716e-06,True,86716,0.6216067037984846,-322.1970852914514,3.762313913445902e-15,4.169806962623309e-08,4.7873143579078605e-14,-2.572370933700878e-08
61815111.407199115,,,,,,,,,,False,,False,False,,,,,35,,,5.364782335006572e-16,-3.205757561542067e-14,True,1.792879724001203e-07,401266017295.951,2652.5541205023637,2.5000554217016424e-05,4.5,False,False,design_000000,0,1.7928797202610996e-07,7.142857142857143,6.907827014032286e-17,False,157783113.03838667,4,511,273,14.0,1.5027001793937139e-16,-10.000431338624882,-10.000431338624882,0.030273812764091204,-749.0165632575089,-245748.59584133708,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.024805835223324343,tesseract_cpp_soft_uncertainty_penalized,7,27669,True,153006416.61692712,157783113.03838667,158744277.36013398,380.33502563799203,nan,nan,retained_space_scaled_weak_galerkin_optimality,29,2.611372606410432e-20,0.0007545554757533004,1.411042284217461e-13,True,True,,True,18,nan,61815111.407199115,4.782184279041794e-16,True,84217,0.6036931105424256,-322.18253910975847,5.368441113407065e-16,2.1213200635617585e-07,1.2603381579174492e-14,1.1978930082028372e-07
27817967.74734132,,,,,,,,,,False,,False,False,,,,,35,,,3.365575910939218e-17,2.405055444262207e-15,True,1.0145976427392466e-07,241498299419.27274,2908.6133800663497,2.5001282945949294e-05,4.75,False,False,design_000000,0,1.0145976568766432e-07,7.142857142857143,3.073765964572653e-17,False,65095663.33162996,4,511,273,15.0,1.8574423407281405e-16,-10.227538242190288,-10.227538242190288,0.0015604459052783986,-749.0163509864451,-236155.67138566135,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.02291951906889548,tesseract_cpp_soft_uncertainty_penalized,11,24878,True,65044870.761481926,65095663.33162996,65197400.348037854,314.26179328953316,nan,nan,retained_space_scaled_weak_galerkin_optimality,29,0.0,0.0007634508777456423,8.399274623023513e-10,True,True,,True,19,nan,27817967.74734132,4.608174639705086e-16,True,81699,0.5856433194985055,-322.20010812548026,2.847841597873807e-17,1.0149565298537989e-07,2.1225995803229795e-14,1.1173797267742356e-07
16086226.089998912,,,,,,,,,,False,,False,False,,,,,35,,,9.494007540282274e-16,-7.170611544909464e-14,True,1.0237484319510398e-07,167896890215.99252,3133.5134289304747,2.5002671801740186e-05,5.0,False,False,design_000000,0,1.0237484206836957e-07,7.142857142857143,5.4407886313446114e-17,False,34368567.38143523,4,511,273,13.0,9.793097390615097e-18,-10.456863154479844,-10.456863154479844,0.0012122153022334386,-749.0560060076633,-225609.4163099406,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.021078528403765052,tesseract_cpp_soft_uncertainty_penalized,13,22295,True,34326905.27813961,34368567.38143523,34407569.03596656,260.3070281557784,nan,nan,retained_space_scaled_weak_galerkin_optimality,29,5.782034826288083e-22,0.0007731833687183222,1.7127081051526518e-15,True,True,,True,20,nan,16086226.089998912,1.334666768521474e-16,True,79129,0.567220776614123,-322.16750334361336,9.417761576540105e-16,8.34412529850841e-08,8.391667616466565e-15,-2.637185580100787e-08
10101477.438856097,,,,,,,,,,False,,False,False,,,,,35,,,3.111432578371206e-16,-2.3488506540964118e-14,True,1.407832321635602e-07,123142906241.50084,3327.306538336448,2.5005254026189446e-05,5.25,False,False,design_000000,0,1.4078323179402858e-07,7.142857142857143,1.0200450853875566e-17,False,19794009.763487767,4,511,273,13.0,9.400659222651539e-17,-10.648420466830062,-10.648420466830062,0.001785439109620806,-749.0384689005482,-214190.99256778575,True,nan,0.0,0.0,0.0,0.0,nan,False,nan,True,tesseract_cpp_variational_ritz,diagonal trial-space equilibration,True,pilot_authorized_fine_structured_grid,True,0.019219747319490502,tesseract_cpp_soft_uncertainty_penalized,14,19916,True,19768233.6521232,19794009.763487767,19829413.974719092,215.77335767911637,nan,nan,retained_space_scaled_weak_galerkin_optimality,29,4.801714703712988e-21,0.0007837316376817725,1.3641673049733821e-12,True,True,,True,21,nan,10101477.438856097,3.805075658063522e-16,True,76492,0.5483179573199143,-322.1280563609874,3.184202970705391e-16,1.2767405208418723e-07,2.7599616225981686e-14,-5.095250794024838e-08
